Количество объектов, единиц	Фактически использовано капитальных вложений за счет всех источников финансирования, тыс.рублей	
		"С начала строительства,
 всего"	"в том числе в 
отчетном году"
А	1	2	3
Российская Федерация			
Всего	1747	1690308607,3	651732448,8
" в том числе объекты:
    строительство которых продолжается"	1138	1591953257,9	645940223,3
из них на которые выделены лимиты бюджетных ассигнований в рамках ФАИП на отчетный год	918	1437978288,1	635530481,2
   временно приостановленные, законсервированные	166	51663217,1	2134510,4
   окончательно прекращенные строительством	108	27707934,4	1160559,2
   строительство которых не начиналось	335	18984197,9	2497155,9
			
Министерство промышленности и торговли Российской Федерации-020			
Всего	14	15528118,7	4973017,9
" в том числе:
    строительство продолжается"	13	15528118,7	4973017,9
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	8	6296444,9	4161253,8
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	1	0,0	0,0
			
Министерство энергетики Российской Федерации-022			
Всего	27	12047644,2	2118590,1
" в том числе:
    строительство продолжается"	8	10963624,0	2118590,1
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	3	3316074,3	2118590,1
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	2	509790,4	0,0
   строительство которых не начиналось	17	574229,8	0,0
			
Министерство природных ресурсов и экологии Российской Федерации-051			
Всего	49	2687346,7	9805,5
" в том числе:
    строительство продолжается"	21	824140,0	9805,5
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	12	636424,9	8715,0
   временно приостановленные, законсервированные	11	1727121,5	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	17	136085,2	0,0
			
Федеральное агентство водных ресурсов-052			
Всего	17	3969721,0	355329,4
" в том числе:
    строительство продолжается"	16	3105066,7	355329,4
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	1	362577,4	355329,4
   временно приостановленные, законсервированные	1	864654,3	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0
			
Министерство культуры Российской Федерации-054			
Всего	56	26514763,9	1994281,9
